,id,name,description,category,subcategory,region,delay,universe,coverage,valueScore,userCount,alphaCount,fieldCount,pyramidMultiplier,themes,researchPapers
0,analyst11,ESG scores,Environmental Social Governance scores that exhibit significance with respect to financial metrics - different scores according to grouping and weighing.,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",GLB,1,TOP3000,0.7917,4.0,62,247,197,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
1,analyst14,Estimations of Key Fundamentals,"This dataset reports many items from financial statements like Balance Sheet, Income Statement, Cash Flow Statement, etc. Along with the actual values, it also reports consensus values of estimations on upcoming fiscal quarters or semi-annuals or fiscal years from different analysts. It has global coverage & good history.","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",GLB,1,TOP3000,0.5186,4.0,82,406,926,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
2,analyst15,Earnings forecasts,This dataset provides bottom-up forecast data for earnings & other factors for major indices & countries. It aggregates stock analysis within same group/sector/industry to provide group level analyst data. This helps in identifying markets that are under/overvalued and also helps gauge aggregated sentiment. ,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",GLB,1,TOP3000,0.9929,2.0,151,928,288,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
3,analyst16,Real Time Estimates,"This dataset provides real-time access to the industry standard Estimates, plus SmartEstimate and Predicted Surprises.This enables to act and trade before the market has prices in the news.","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",GLB,1,TOP3000,0.9013,2.0,98,573,42,2.0,[],"[{'type': 'research', 'title': 'Creating D0 Alphas with Analyst Data', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/18426256195351-Creating-D0-Alphas-with-Analyst-Data'}, {'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
4,analyst35,ESG Model,"The dataset provide ESG related information based on proprietary metrics created by the company across the Environmental, Social and Governance disciplines. This global dataset follows a uniform methodology in all regions, and extracts similar set of fields in each region.","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",GLB,1,TOP3000,0.4375,4.0,16,28,23,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
5,analyst39,Analyst estimates & financial ratios,"This dataset provides a lot of information on companies financials, financial statements calendar and analyst consensus estimates","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",GLB,1,TOP3000,1.0,3.0,33,90,5,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
6,analyst40,Information on board of director,"This dataset about Boards of Directors has four parts now: 1) board_connection (connections between companies triggered by board directorsÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¾ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ movements) 2) board_mobility (human capital records for boards), 3) board_character (board characters such as gender ratio, nationality mix, standard deviation for ages, etc.) 4) board_independence (independence of board according to the constitution of board directors.","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",GLB,1,TOP3000,0.4134,5.0,5,14,11,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
7,analyst44,Integrated Broker Estimates,"This dataset integrates the detail estimates from other analyst datasets to recognize those repeated forecast events, improve the coverage on instruments and items.","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",GLB,1,TOP3000,0.8173,4.0,50,145,115,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
8,analyst46,Analyst Investment insight Data,The dataset incorporates the investment insight from sell-side contributors from various stocks trading on many exchanges.,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",GLB,1,TOP3000,0.7703,4.0,8,22,5,2.0,[],"[{'type': 'research', 'title': 'Research Paper 68: An Augmented q-Factor Model with Expected Growth', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611179260823-Research-Paper-68-An-Augmented-q-Factor-Model-with-Expected-Growth'}, {'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
9,analyst47,Alternative Analyst Investment Insight Data,The dataset incorporates the investment insight from sell-side contributors from various stocks trading on many exchanges.,"{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-crowdsourced-estimates', 'name': 'Crowdsourced Estimates'}",GLB,1,TOP3000,0.8409,3.0,40,179,5,2.0,[],"[{'type': 'discussion', 'title': 'Getting started with Analyst Datasets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets'}]"
