pnl,bookSize,longCount,shortCount,turnover,returns,drawdown,margin,sharpe,fitness,startDate,riskNeutralized,alpha_id,alpha
2934197,20000000,1330,1325,0.0886,0.0283,0.0592,0.00064,1.05,0.5,2012-07-15,"{'pnl': 1499938, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0886, 'returns': 0.0145, 'drawdown': 0.0183, 'margin': 0.000327, 'fitness': 0.44, 'sharpe': 1.3}",R7w1Qag,rank(mdl110_analyst_sentiment/(1+mdl110_alternative))
2920551,20000000,1330,1325,0.0887,0.0282,0.0592,0.000636,1.04,0.49,2012-07-15,"{'pnl': 1487329, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0887, 'returns': 0.0144, 'drawdown': 0.0185, 'margin': 0.000324, 'fitness': 0.44, 'sharpe': 1.29}",n758ROd,rank(mdl110_analyst_sentiment/(1+mdl110_growth))
2929228,20000000,1330,1325,0.0887,0.0283,0.0589,0.000638,1.04,0.49,2012-07-15,"{'pnl': 1495403, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0887, 'returns': 0.0144, 'drawdown': 0.0185, 'margin': 0.000326, 'fitness': 0.44, 'sharpe': 1.3}",V7b3E05,rank(mdl110_analyst_sentiment/(1+mdl110_price_momentum_reversal))
2924415,20000000,1330,1325,0.0887,0.0282,0.059,0.000637,1.04,0.49,2012-07-15,"{'pnl': 1494830, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0887, 'returns': 0.0144, 'drawdown': 0.0185, 'margin': 0.000326, 'fitness': 0.44, 'sharpe': 1.3}",R7w18jo,rank(mdl110_analyst_sentiment/(1+mdl110_quality))
2948669,20000000,1330,1325,0.0888,0.0285,0.0584,0.000642,1.04,0.5,2012-07-15,"{'pnl': 1499614, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0888, 'returns': 0.0145, 'drawdown': 0.0184, 'margin': 0.000326, 'fitness': 0.44, 'sharpe': 1.29}",gjV9MAm,rank(mdl110_analyst_sentiment/(1+mdl110_score))
2925572,20000000,1330,1325,0.0887,0.0283,0.0594,0.000637,1.04,0.49,2012-07-15,"{'pnl': 1494193, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0887, 'returns': 0.0144, 'drawdown': 0.0184, 'margin': 0.000326, 'fitness': 0.44, 'sharpe': 1.29}",gjV9MOm,rank(mdl110_analyst_sentiment/(1+mdl110_tree))
2924152,20000000,1329,1326,0.0887,0.0282,0.0589,0.000637,1.04,0.49,2012-07-15,"{'pnl': 1489225, 'bookSize': 20000000, 'longCount': 1329, 'shortCount': 1326, 'turnover': 0.0887, 'returns': 0.0144, 'drawdown': 0.0185, 'margin': 0.000325, 'fitness': 0.44, 'sharpe': 1.29}",9XO77Ad,rank(mdl110_analyst_sentiment/(1+mdl110_value))
5675355,20000000,1329,1326,0.0792,0.0548,0.0625,0.001385,1.47,0.97,2012-07-15,"{'pnl': 1581668, 'bookSize': 20000000, 'longCount': 1329, 'shortCount': 1326, 'turnover': 0.0792, 'returns': 0.0153, 'drawdown': 0.0277, 'margin': 0.000386, 'fitness': 0.48, 'sharpe': 1.36}",gjV9NRO,rank(mdl110_score/(1+mdl110_alternative))
5628270,20000000,1330,1325,0.0793,0.0544,0.0644,0.001372,1.46,0.96,2012-07-15,"{'pnl': 1569918, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0793, 'returns': 0.0152, 'drawdown': 0.0286, 'margin': 0.000383, 'fitness': 0.47, 'sharpe': 1.35}",L7YdvWn,rank(mdl110_score/(1+mdl110_analyst_sentiment))
5655980,20000000,1329,1326,0.0792,0.0546,0.0651,0.001379,1.46,0.96,2012-07-15,"{'pnl': 1574705, 'bookSize': 20000000, 'longCount': 1329, 'shortCount': 1326, 'turnover': 0.0792, 'returns': 0.0152, 'drawdown': 0.0288, 'margin': 0.000384, 'fitness': 0.47, 'sharpe': 1.36}",rjMPq38,rank(mdl110_score/(1+mdl110_growth))
5646316,20000000,1329,1326,0.0793,0.0545,0.0633,0.001376,1.46,0.96,2012-07-15,"{'pnl': 1556441, 'bookSize': 20000000, 'longCount': 1329, 'shortCount': 1326, 'turnover': 0.0793, 'returns': 0.015, 'drawdown': 0.0286, 'margin': 0.000379, 'fitness': 0.46, 'sharpe': 1.34}",1wAz8bK,rank(mdl110_score/(1+mdl110_price_momentum_reversal))
5655389,20000000,1330,1325,0.0792,0.0546,0.0643,0.001379,1.46,0.96,2012-07-15,"{'pnl': 1571770, 'bookSize': 20000000, 'longCount': 1330, 'shortCount': 1325, 'turnover': 0.0792, 'returns': 0.0152, 'drawdown': 0.0287, 'margin': 0.000383, 'fitness': 0.47, 'sharpe': 1.35}",2lop1rY,rank(mdl110_score/(1+mdl110_quality))
5648639,20000000,1329,1326,0.0792,0.0546,0.065,0.001377,1.46,0.96,2012-07-15,"{'pnl': 1560761, 'bookSize': 20000000, 'longCount': 1329, 'shortCount': 1326, 'turnover': 0.0792, 'returns': 0.0151, 'drawdown': 0.0291, 'margin': 0.000381, 'fitness': 0.47, 'sharpe': 1.34}",mjW5exx,rank(mdl110_score/(1+mdl110_tree))
5631688,20000000,1329,1326,0.0792,0.0544,0.0649,0.001374,1.46,0.96,2012-07-15,"{'pnl': 1565681, 'bookSize': 20000000, 'longCount': 1329, 'shortCount': 1326, 'turnover': 0.0792, 'returns': 0.0151, 'drawdown': 0.0286, 'margin': 0.000382, 'fitness': 0.47, 'sharpe': 1.35}",kj6Pe1L,rank(mdl110_score/(1+mdl110_value))
