pnl,bookSize,longCount,shortCount,turnover,returns,drawdown,margin,sharpe,fitness,startDate,riskNeutralized,alpha_id,alpha
3745338,20000000,1341,1314,0.0968,0.0362,0.0662,0.000747,1.13,0.61,2012-07-15,"{'pnl': 1895800, 'bookSize': 20000000, 'longCount': 1341, 'shortCount': 1314, 'turnover': 0.0968, 'returns': 0.0183, 'drawdown': 0.0156, 'margin': 0.000378, 'fitness': 0.52, 'sharpe': 1.36}",vjbY0Lz,zscore(mdl110_analyst_sentiment/(1+mdl110_alternative))
3813525,20000000,1344,1311,0.0961,0.0368,0.0663,0.000767,1.17,0.63,2012-07-15,"{'pnl': 1836828, 'bookSize': 20000000, 'longCount': 1344, 'shortCount': 1311, 'turnover': 0.0961, 'returns': 0.0177, 'drawdown': 0.0158, 'margin': 0.000369, 'fitness': 0.5, 'sharpe': 1.34}",2lxGELb,zscore(mdl110_analyst_sentiment/(1+mdl110_growth))
3935355,20000000,1340,1315,0.0969,0.038,0.0661,0.000785,1.19,0.66,2012-07-15,"{'pnl': 1978429, 'bookSize': 20000000, 'longCount': 1340, 'shortCount': 1315, 'turnover': 0.0969, 'returns': 0.0191, 'drawdown': 0.0155, 'margin': 0.000395, 'fitness': 0.55, 'sharpe': 1.4}",Z79XqXd,zscore(mdl110_analyst_sentiment/(1+mdl110_price_momentum_reversal))
3840154,20000000,1340,1315,0.0961,0.0371,0.0652,0.000772,1.17,0.64,2012-07-15,"{'pnl': 1930725, 'bookSize': 20000000, 'longCount': 1340, 'shortCount': 1315, 'turnover': 0.0961, 'returns': 0.0187, 'drawdown': 0.0151, 'margin': 0.000388, 'fitness': 0.55, 'sharpe': 1.41}",rjw0bQ9,zscore(mdl110_analyst_sentiment/(1+mdl110_value))
3857763,20000000,1342,1313,0.0961,0.0373,0.0662,0.000776,1.18,0.64,2012-07-15,"{'pnl': 1935783, 'bookSize': 20000000, 'longCount': 1342, 'shortCount': 1313, 'turnover': 0.0961, 'returns': 0.0187, 'drawdown': 0.0158, 'margin': 0.000389, 'fitness': 0.55, 'sharpe': 1.42}",6lQGR1O,zscore(mdl110_analyst_sentiment/(1+mdl110_quality))
3917459,20000000,1397,1258,0.0978,0.0378,0.0686,0.000774,1.11,0.61,2012-07-15,"{'pnl': 1793474, 'bookSize': 20000000, 'longCount': 1397, 'shortCount': 1258, 'turnover': 0.0978, 'returns': 0.0173, 'drawdown': 0.0169, 'margin': 0.000354, 'fitness': 0.45, 'sharpe': 1.21}",bjgxNMR,zscore(mdl110_analyst_sentiment/(1+mdl110_score))
3871915,20000000,1343,1312,0.0962,0.0374,0.0677,0.000778,1.18,0.65,2012-07-15,"{'pnl': 1941710, 'bookSize': 20000000, 'longCount': 1343, 'shortCount': 1312, 'turnover': 0.0962, 'returns': 0.0188, 'drawdown': 0.0158, 'margin': 0.00039, 'fitness': 0.55, 'sharpe': 1.42}",8lZGO6o,zscore(mdl110_analyst_sentiment/(1+mdl110_tree))
7229282,20000000,1400,1255,0.0852,0.0698,0.0716,0.00164,1.58,1.18,2012-07-15,"{'pnl': 1970545, 'bookSize': 20000000, 'longCount': 1400, 'shortCount': 1255, 'turnover': 0.0852, 'returns': 0.019, 'drawdown': 0.0294, 'margin': 0.000447, 'fitness': 0.55, 'sharpe': 1.4}",rjw09Pm,zscore(mdl110_score/(1+mdl110_analyst_sentiment))
6635378,20000000,1383,1272,0.0844,0.0641,0.1092,0.001519,1.41,1.01,2012-07-15,"{'pnl': 1689743, 'bookSize': 20000000, 'longCount': 1383, 'shortCount': 1272, 'turnover': 0.0844, 'returns': 0.0163, 'drawdown': 0.059, 'margin': 0.000387, 'fitness': 0.42, 'sharpe': 1.17}",X7xNV8b,zscore(mdl110_score/(1+mdl110_growth))
6862892,20000000,1389,1266,0.0855,0.0663,0.0722,0.00155,1.48,1.08,2012-07-15,"{'pnl': 1780935, 'bookSize': 20000000, 'longCount': 1389, 'shortCount': 1266, 'turnover': 0.0855, 'returns': 0.0172, 'drawdown': 0.0439, 'margin': 0.000402, 'fitness': 0.47, 'sharpe': 1.28}",dj69YZ2,zscore(mdl110_score/(1+mdl110_price_momentum_reversal))
6725865,20000000,1386,1269,0.0849,0.065,0.105,0.00153,1.44,1.04,2012-07-15,"{'pnl': 1713021, 'bookSize': 20000000, 'longCount': 1386, 'shortCount': 1269, 'turnover': 0.0849, 'returns': 0.0165, 'drawdown': 0.0578, 'margin': 0.00039, 'fitness': 0.43, 'sharpe': 1.18}",9X3G8N2,zscore(mdl110_score/(1+mdl110_alternative))
6857419,20000000,1383,1272,0.0843,0.0662,0.0812,0.001571,1.5,1.09,2012-07-15,"{'pnl': 1894335, 'bookSize': 20000000, 'longCount': 1383, 'shortCount': 1272, 'turnover': 0.0843, 'returns': 0.0183, 'drawdown': 0.037, 'margin': 0.000434, 'fitness': 0.54, 'sharpe': 1.41}",M7ngZA6,zscore(mdl110_score/(1+mdl110_quality))
6678507,20000000,1390,1265,0.0844,0.0645,0.1009,0.001529,1.44,1.03,2012-07-15,"{'pnl': 1801601, 'bookSize': 20000000, 'longCount': 1390, 'shortCount': 1265, 'turnover': 0.0844, 'returns': 0.0174, 'drawdown': 0.0448, 'margin': 0.000412, 'fitness': 0.5, 'sharpe': 1.34}",mjNKnWp,zscore(mdl110_score/(1+mdl110_tree))
6738227,20000000,1385,1270,0.0843,0.0651,0.0946,0.001545,1.44,1.04,2012-07-15,"{'pnl': 1855334, 'bookSize': 20000000, 'longCount': 1385, 'shortCount': 1270, 'turnover': 0.0843, 'returns': 0.0179, 'drawdown': 0.0408, 'margin': 0.000425, 'fitness': 0.52, 'sharpe': 1.38}",6lQG6LJ,zscore(mdl110_score/(1+mdl110_value))
